stu1 1 2 3 4
stu2 1 3 4 1
stu3 3 4 1 2
stu4 4 1 2 3
stu5 1 2 3 4
stu6 1 3 4 1
stu7 3 4 1 2
stu8 3 1 2 3
stu9 1 2 3 4
stu10 1 3 4 1
stu11 3 4 1 2
stu12 4 1 2 3
stu13 1 2 3 4
stu14 1 3 4 1
stu15 3 4 1 2
stu16 3 1 2 3
stu17 1 2 3 4
stu18 1 3 4 1
stu19 3 4 1 2
stu20 4 1 2 3
stu21 1 2 3 4
stu22 1 3 4 1
stu23 3 4 1 2
stu24 3 1 2 3
stu25 1 2 3 4
stu26 1 3 4 1
stu27 3 4 1 2
stu28 4 1 2 3
stu29 1 2 3 4
stu30 1 3 4 1
stu31 3 4 1 2
stu32 3 1 2 3
stu33 1 2 3 4
stu34 1 3 4 1
stu35 3 4 1 2
stu36 4 1 2 3
stu37 1 2 3 4
stu38 1 3 4 1
stu39 3 4 1 2
stu40 3 1 2 3
stu41 1 2 3 4
stu42 1 3 4 1
stu43 3 4 1 2
stu44 4 1 2 3
stu45 1 2 3 4
stu46 1 3 4 1
stu47 8 4 1 2
stu48 23 21 20 16
